,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
1611,-807.10645,41.267155,2.3186634,10.466209,-0.7968011,-3.9531405,-7.999305,-11.10365,-3.5931797,-1.0736936,-4.3939247,-4.9376683,-3.401065,-1.6724871,-6.5012217,-2.9682243,-3.5406635,-2.390403,-2.0542474,-6.029025,-1.5302421,-2.6253123,-3.757744,0.82858306,-2.2031472,-1.1514665,-1.1559303,-2.073725,-1.932207,-0.72001225,0.295703,4.3286524,3.7985995,7.9987698,4.506745,4.694772,1.7222574,2.2264965,0.7660635,3.8141344,calm
1614,-538.6011,32.994755,-10.199849,-9.196616,-13.171097,-7.606031,-9.206814,-15.677617,-12.207047,-3.902577,-6.874882,-9.534218,-7.659837,-5.295672,-10.09843,-7.29514,-4.4075117,1.2560564,-1.839709,3.643692,4.262056,2.9402773,-0.8327019,-0.059226714,-4.3643923,1.7464556,0.4436769,-2.0647671,-0.83143955,-1.7557583,-1.9236667,0.17765968,-2.1021695,0.1195183,-0.82836944,2.0651007,0.07186954,0.63762385,-1.3744986,0.4292378,disgust
2688,-516.7293,64.9237,-7.301379,10.047474,3.895556,-5.632204,-16.671911,-15.743442,-4.965959,-9.504449,-6.9772596,-7.265792,-9.426714,-4.424783,-8.233281,-3.3326607,-7.576694,-3.3612177,-2.9593532,-6.2577987,-8.201263,-5.4345994,-4.2544036,-4.5192976,-7.786911,-1.5612128,-3.2055657,0.337569,-3.7019842,-0.050178483,-2.4424152,-1.1394752,-3.9273207,-1.7654636,-3.5861652,-1.45251,-3.0242298,-4.2085257,-1.6667808,1.1596682,fear
1150,-629.4979,49.499107,-14.418691,5.444785,-7.9560046,-5.2017617,-9.801171,-15.274473,-4.0444875,-0.23157418,-10.309918,-1.9046068,-9.48154,-2.9558547,-6.174196,-4.4114294,-3.0291462,-5.5438304,-5.260103,-3.5681858,-3.9109387,-6.500144,-4.7131014,-2.0855775,-6.8213377,-2.0593967,-2.929197,-0.0635547,1.5382605,3.4942017,2.6519845,5.3999643,3.1614914,3.8214347,1.8667308,2.7745955,1.5295521,4.5283675,3.9033167,3.6800578,disgust
2314,-686.18207,35.12247,3.622345,11.270513,-7.646808,-5.226242,-9.09185,-11.383553,-1.3617725,-5.7406125,-3.1340113,-4.609325,-3.0394454,-2.161169,-5.4131513,-1.0574363,-3.5073726,-0.8624425,-4.292202,0.7560468,-2.9259315,-0.940813,0.96069765,5.2949886,0.69784623,5.0549245,0.6734657,3.646471,0.317751,2.0774195,1.4847534,3.7048278,0.33894777,2.233152,1.0062448,1.505337,0.25171873,0.9585225,-0.77967715,0.51288974,sad
1396,-412.92355,43.382248,-10.774095,10.618179,3.895143,-11.955716,-2.4560633,-6.1900973,-17.141657,-3.0272913,-3.0886292,-10.723191,-3.147006,-3.2071304,-3.9164197,-2.8660202,-7.097702,-1.0309533,-3.053763,-4.141503,-4.616113,-1.6243107,-4.245604,-5.0504284,-4.855466,-2.9126482,-5.9582796,-2.4751139,-3.7486243,-1.5778484,-2.0169,-2.9961014,-3.6605294,-1.7390945,-0.6443838,0.7553621,-0.1689714,-0.07583618,-2.8688815,-0.99568194,angry
1835,-674.3091,51.199993,3.1206112,5.338329,-0.31234556,-4.067891,-4.7268796,-11.051495,-7.538233,-7.0951138,-9.238578,-1.6992623,-11.506302,-3.71272,-2.2197742,-10.096196,-8.966937,-4.6117306,-6.8721657,-6.5271754,-5.25719,-3.0931833,-6.9056797,-4.8656507,-4.941852,-1.8333212,0.034983005,6.558282,3.647879,8.013543,2.3640125,2.11602,-0.20670724,2.1233203,1.4067887,2.927855,1.6601648,3.9075332,1.1180828,2.2409832,calm
2276,-803.2566,57.537094,9.824237,19.6487,14.718922,6.3337255,0.471461,-1.4684997,3.8797746,2.0546656,-1.6835198,3.999093,1.4093134,-3.1874847,1.9873898,1.4278003,0.38387138,0.6374093,-2.1585028,3.0004017,-0.96007264,-1.4133217,-4.0843406,-0.42483625,-3.224789,-0.07485444,-3.8833244,-0.21622951,-4.1531134,1.1599425,-2.9896257,0.0935608,-2.724806,0.09392103,-3.6536517,-0.9259146,-2.9036856,-0.8364523,-2.7267888,-0.99178857,fear
179,-788.4148,61.05521,16.276302,22.374853,8.566931,5.7148,0.91833246,-0.13286221,4.517874,7.532569,6.360081,4.519872,0.14376327,3.0276482,1.4009135,2.0455098,-0.47235116,3.591584,0.49811545,1.4889743,-0.32322472,3.682368,-3.758963,1.4409671,0.33459198,1.5070033,-1.4200182,3.046229,1.6739568,-0.65416574,0.39365792,0.4576864,-0.7556872,0.74479014,0.3702975,1.7029892,-0.9160826,-1.7460097,-2.1427362,0.4011943,calm
1044,-368.76047,35.37936,-30.61627,-1.8428186,-4.069357,-22.080818,-10.706038,-20.744635,-16.658775,0.9068183,-14.629666,-10.207644,-1.8648669,-8.6563225,0.963956,4.5090284,1.5189891,10.509045,8.011599,2.9226174,-0.26076806,3.2022364,-3.6170871,-1.0828366,-3.1155746,-0.5092018,-1.7598664,-2.4638135,-0.6967229,-1.631152,0.85055983,1.8499837,-2.1984284,3.8799691,0.617294,3.3706226,0.11235377,3.3624842,-0.19173174,-0.48273343,happy
1716,-552.05615,57.810905,-1.7397953,9.140095,14.149573,-1.2430092,-0.90282106,-6.218337,-1.2971472,3.2800326,-3.4683695,1.7025374,0.033377074,-1.5559192,4.1724935,0.22855565,-4.9608154,1.8588781,-1.4982458,-2.0429933,-3.7395215,1.0560619,-1.9182414,0.108346365,-2.3830762,1.2349355,0.9066973,3.6382773,-0.79862124,3.9486763,4.482426,6.0959344,4.801494,3.0158343,1.1539433,3.0780754,2.2969046,2.3125684,1.8847898,1.9235095,disgust
561,-541.18304,51.170753,-4.653999,10.494532,6.5521417,-2.571529,-9.227835,-12.637937,-7.059047,0.96703357,-4.6063495,-4.55945,-3.5633173,-1.7249869,0.5425052,-0.19390899,-0.41233847,0.21183491,-1.7002687,-2.0975025,-4.09383,2.1319678,-2.9573638,2.2385094,-4.4078856,1.1664851,-2.1856894,2.8079157,-3.457001,4.063599,2.8997226,4.600709,1.9765309,1.6910341,2.1204998,3.7373726,3.2265313,4.501149,3.0569496,4.4006934,fear
4,-622.5787,51.311447,-10.439537,4.765818,-4.809168,-3.2195776,-5.7218094,-9.393639,-5.245095,-1.9874322,-5.037799,-2.868664,-6.420317,1.5982882,-6.268896,-3.1418843,-3.2153885,-3.4863598,-1.2199965,-0.051730104,-0.22478902,-0.57490134,-0.6031896,-0.3323585,0.24324279,-0.91620004,2.080818,2.9753082,2.1127472,2.9116216,-0.17979464,2.9378657,1.0441644,1.7601391,1.5014976,4.362187,-1.2110758,0.5913537,-1.0897062,1.28007,neutral
2228,-464.53906,38.816086,-14.36377,5.421508,7.9884033,-6.833978,-10.916375,-5.7828426,-14.6264105,-0.10943858,-6.3774953,-3.1681566,-2.237942,3.0542312,-5.819574,1.0260843,-1.9819614,-6.1976695,-4.5196147,0.074438766,-6.759569,-5.294158,-6.936241,-0.781948,-2.22368,2.4688668,2.3975556,9.051672,7.324469,7.713927,7.7315803,5.5404105,2.331023,2.3402193,1.9394345,3.9998984,3.8840926,2.9602554,1.2304094,1.2254878,happy
